Hit Squad,Hit Squad,Parrot Battalion,de_mirage,Win,16-13,Jun 28 18
Hit Squad,Hit Squad,Cat Squad Returns,de_dust2,Win,16-14,Jul 1 18
Hit Squad,wat,Hit Squad,de_nuke,Loss,16-8,Jul 3 18
Hit Squad,PAW Patrol,Hit Squad,de_nuke,Loss,19-17,Jul 9 18
Hit Squad,Team Texas,Hit Squad,de_nuke,Loss,16-6,Jul 12 18
Hit Squad,VCU CSGO,Hit Squad,de_cache,Loss,16-5,Jul 13 18
Hit Squad,Hit Squad,Defy Rebellion,Multiple,Win,2-1,Jul 31 18
Hit Squad,bld,Hit Squad,Multiple,Win,0-2,Aug 3 18
Hit Squad,Mazer Gaming,Hit Squad,Multiple,Loss,2-1,Aug 7 18
SANLAN,SANLAN,LoS Pistoleros,de_inferno,Win,16-6,May 23 18
SANLAN,SANLAN,34,de_nuke,Loss,14-16,May 25 18
SANLAN,Driven to Insanity,SANLAN,de_dust2,Loss,16-13,May 31 18
SANLAN,PAW Patrol,SANLAN,de_dust2,Loss,16-11,Jun 4 18
SANLAN,Cloud9Academy,SANLAN,de_inferno,Win,0-16,Jun 7 18
SANLAN,SANLAN,Polar Ace,de_inferno,Loss,7-16,Jun 11 18
SANLAN,Looking for 0RG,SANLAN,de_mirage,Win,7-16,Jun 13 18
SANLAN,SANLAN,CZ5,de_mirage,Win,16-8,Jun 18 18
SANLAN,Goomba Squad,SANLAN,de_train,Win,12-16,Jun 21 18
SANLAN,SANLAN,Habibis Workshop,de_mirage,Win,16-8,Jun 25 18
SANLAN,Triggered Trash,SANLAN,de_inferno,Loss,16-14,Jun 28 18
SANLAN,SANLAN,Team Verum,de_inferno,Win,16-2,Jul 2 18
SANLAN,SANLAN,fudgey fucking blows,Pending Veto,Win,16-0,Jul 2 18
SANLAN,Vivency,SANLAN,de_overpass,Win,8-16,Jul 4 18
SANLAN,Parrot Battalion,SANLAN,de_overpass,Win,13-16,Jul 9 18
SANLAN,Past My Bedtime,SANLAN,de_inferno,Win,0-16,Jul 13 18
SANLAN,SANLAN,East Coast Gaming,Multiple,Win,2-0,Jul 31 18
SANLAN,SANLAN,Broken Alliance,Multiple,Win,2-0,Aug 3 18
SANLAN,APE ESCAPE,SANLAN,Multiple,Loss,2-0,Aug 7 18
BzG Esports,BzG Esports,Prison Sex,de_mirage,Win,16-11,May 22 18
