"['CZ5', 'SANLAN']",Jun 18 18,de_mirage
"['Goomba Squad', 'SANLAN']",Jun 21 18,de_train
"['Habibis Workshop', 'SANLAN']",Jun 25 18,de_mirage
"['SANLAN', 'Triggered Trash']",Jun 28 18,de_inferno
"['SANLAN', 'Team Verum']",Jul 2 18,de_inferno
"['SANLAN', 'fudgey fucking blows']",Jul 2 18,Pending Veto
"['SANLAN', 'Vivency']",Jul 4 18,de_overpass
"['Parrot Battalion', 'SANLAN']",Jul 9 18,de_overpass
"['Past My Bedtime', 'SANLAN']",Jul 13 18,de_inferno
"['East Coast Gaming', 'SANLAN']",Jul 31 18,Multiple
"['Broken Alliance', 'SANLAN']",Aug 3 18,Multiple
"['BzG Esports', 'Prison Sex']",May 22 18,de_mirage
"['BzG Esports', 'Flipping table crew']",May 23 18,de_overpass
"['BzG Esports', 'W E E B B U S T E...']",May 30 18,de_overpass
"['BzG Esports', 'Grain Bin Boyz']",Jun 4 18,de_nuke
"['2 Pound Sandwich', 'BzG Esports']",Jun 6 18,de_nuke
"['BzG Esports', 'Wikkid Esports']",Jun 11 18,de_cache
"['BzG Esports', 'Quixotic Reality']",Jun 13 18,de_mirage
"['BzG Esports', 'Clam Shack Clapba...']",Jun 18 18,de_nuke
"['But What If', 'BzG Esports']",Jun 22 18,de_mirage
"['BzG Esports', 'ExPURE']",Jun 25 18,de_overpass
"['BzG Esports', 'Realm Royale']",Jul 2 18,de_nuke
"['BzG Esports', 'hitbox-']",Jul 2 18,de_overpass
"['BzG Esports', 'Mobility-Gaming']",Jul 4 18,de_mirage
"['BzG Esports', 'Feels IM Man']",Jul 9 18,de_train
"['BzG Esports', 'Class Is In Sessi...']",Jul 10 18,de_dust2
"['BzG Esports', 'LeTrainTiltant']",Jul 13 18,de_train
"['BzG Esports', 'Rabbi and the Alt...']",Jul 30 18,Multiple
"['BzG Esports', 'Team Empire']",Aug 3 18,Multiple
"['Illini Esports Or...', 'Snows Racers']",May 22 18,de_mirage
"['Corporate Punishment', 'Snows Racers']",May 26 18,de_inferno
"['Flashpoint Gaming', 'Snows Racers']",May 28 18,de_inferno
"['Snows Racers', 'Triggered Trash']",Jun 4 18,de_overpass
"['Snows Racers', 'this bitch empty']",Jun 7 18,de_cache
"['Snows Racers', 'carBOMB']",Jun 8 18,de_train
"['Manly Men', 'Snows Racers']",Jun 12 18,de_train
"['Instant Shock', 'Snows Racers']",Jun 13 18,de_overpass
"['Average Joes Gym', 'Snows Racers']",Jun 20 18,de_mirage
"['Hentai Queens', 'Snows Racers']",Jun 22 18,de_train
"['MixedReviews', 'Snows Racers']",Jun 28 18,de_train
"['Hedgehogs', 'Snows Racers']",Jun 30 18,de_mirage
"['Doxxa', 'Snows Racers']",Jul 6 18,de_cache
"['Rabbi and the Alt...', 'Snows Racers']",Jul 9 18,de_overpass
"['Snows Racers', 'UC Rejects CSGO']",Jul 11 18,de_cache
"['New Beginnings', 'Snows Racers']",Jul 12 18,de_train
"['Snows Racers', 'Team Digital Dynasty']",Jul 31 18,Multiple
"['Lore', 'Snows Racers']",Aug 2 18,Multiple
"['The Myrmidons', 'bld']",May 25 18,de_inferno
"['For The Community', 'The Myrmidons']",Jun 1 18,de_inferno
"['The Myrmidons', 'VIRGIN ESPORTS']",Jun 6 18,de_cache
"['Flipping table crew', 'The Myrmidons']",Jun 7 18,de_inferno
"['Phat Brain', 'The Myrmidons']",Jun 10 18,de_inferno
"['The Myrmidons', 'Zero Chemistry']",Jun 15 18,de_train
"['The Myrmidons', 'yikeszzz']",Jun 17 18,de_inferno
"['Electric Pistols', 'The Myrmidons']",Jun 23 18,de_train
"['Higher Power', 'The Myrmidons']",Jun 25 18,de_mirage
"['The Myrmidons', 'The beasty boys']",Jun 29 18,de_train
"['PHENOM REBORN ASC...', 'The Myrmidons']",Jun 30 18,de_mirage
"['Skeet Skeet Water...', 'The Myrmidons']",Jul 9 18,de_inferno
"['No Shift Nation', 'The Myrmidons']",Jul 11 18,de_inferno
"['Realm Royale', 'The Myrmidons']",Jul 12 18,de_train
"['ExPURE', 'The Myrmidons']",Jul 14 18,de_mirage
"['Deception Gaming', 'The Myrmidons']",Jul 30 18,Multiple
"['Bloom E-sports', 'The Myrmidons']",Aug 5 18,Multiple
"['Aerox-Esports', 'Noble xD']",May 23 18,de_cache
"['Aerox-Esports', 'Bloom eSports']",May 26 18,de_train
"['Aerox-Esports', 'The Bastards']",May 29 18,de_mirage
